image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11,gemini surprise score
objects_car_COCO_train2014_000000581009.jpg,0.4705882370471954,178,17,0.8072347988391598,49.0,0.4752388298511505,0.39921516,0.0689653333333333,7.3,31.7,125.7,521.3,2100.5,7557.4,19411.3,26732.8,0.7898837,0.456994,0.9289102,0.1114131,0.8816959,0.4543011,0.063648,0.3046258,0.2364325,726,-1.26376,35.0
objects_fork_COCO_train2014_000000258517.jpg,0.5441176295280457,123,8,0.8032146747371384,43.0,0.5394920110702515,0.36625525,0.0577680250783699,8.0,40.7,203.6,1001.1,4635.4,16331.9,37889.0,47969.8,0.74725926,0.2287836,0.9592421,0.1328383,0.9150768,0.4462025,0.05605016,0.2276823,0.3769031,1322,-0.785802,45.0
objects_laptop_COCO_train2014_000000507459.jpg,0.4558823406696319,83,16,0.8252778563829518,1.0,0.4598493278026581,0.30012947,0.0397455786534284,7.7,19.4,46.7,141.1,496.3,1833.5,5937.5,9136.4,0.7747177,0.2016145,0.9688141,0.1206259,0.9170495,0.3965517,0.04224325,0.1613404,0.08818922,173,-0.679571,15.0
objects_surfboard_COCO_train2014_000000490572.jpg,0.2794117629528045,25,3,0.8649847732022637,9.0,0.3230258822441101,0.26495585,0.0077886189956331,7.3,23.6,84.8,312.5,1210.6,4504.6,16377.6,30476.5,0.67019904,0.1827466,0.8922074,0.2359574,0.9143879,0.4627193,0.01622885,0.3017911,0.3211061,465,1.36862,30.0
objects_wine glass_COCO_train2014_000000057551.jpg,0.4705882370471954,153,8,0.8910615491938446,14.0,0.4593948721885681,0.19905668,0.0275423177083333,8.0,31.3,138.1,628.5,2809.3,11529.0,38246.3,59405.2,0.7208598,0.2029212,0.9388303,0.1856011,0.9301236,0.458159,0.03078125,0.2418978,0.3611709,929,-0.764311,40.0
objects_toilet_COCO_train2014_000000341534.jpg,0.4852941036224365,83,9,0.8308704540424422,34.0,0.4714849889278412,0.33170104,0.1477312646370023,7.8,26.8,111.2,454.4,1743.9,6119.2,17857.5,29321.5,0.7347317,0.3624076,0.9588379,0.1076096,0.8831814,0.4551887,0.03109631,0.2592921,0.2578533,691,-1.05607,15.0
objects_toothbrush_COCO_train2014_000000256741.jpg,0.4705882370471954,107,14,0.8826018567523014,17.0,0.4564012885093689,0.21727483,0.0173600260416666,8.0,35.1,147.1,615.6,2307.2,6842.4,18362.8,31040.5,0.7734805,0.2219744,0.9307252,0.2222251,0.9358155,0.4665272,0.03902669,0.2175054,0.1748827,940,-0.0247238,35.0
objects_skis_COCO_train2014_000000312802.jpg,0.4264705777168274,81,5,0.8019596740225053,46.0,0.4332865476608276,0.41719416,0.079563492063492,7.0,23.8,81.5,305.2,1194.0,4357.5,14133.6,23942.2,0.7233373,0.3626911,0.9630073,0.1579066,0.8817213,0.4406393,0.08042446,0.2483194,0.2161875,435,-0.816664,10.0
objects_parking meter_COCO_train2014_000000235034.jpg,0.4558823406696319,98,8,0.7564164875578007,31.0,0.4121396839618683,0.4808661,0.0612279275092936,8.0,27.5,100.5,389.8,1543.9,5444.7,15429.4,22913.7,0.8041086,1.073951,0.8196551,0.1414582,0.7912504,0.4874608,0.08140683,0.3616306,0.1292745,588,-0.0970579,10.0
objects_banana_COCO_train2014_000000105620.jpg,0.4705882370471954,79,7,0.8516094737453432,45.0,0.435511976480484,0.3121426,0.039677734375,7.9,34.8,162.2,738.7,3130.0,12540.7,42352.8,65534.1,0.8560538,0.1595136,0.9671156,0.1366149,0.928867,0.4246862,0.02220703,0.2704807,0.6155152,965,-1.23814,30.0
