image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
imm(01).bmp,0.6652438557000001,150,29,0.8637296553718108,30,0.5483458042144775,0.28851414,0.0348055642144638,8.0,38.6,177.9,720.3,2550.3,7979.4,23002.7,56510.7,25,0.71916753,0.2178941,0.9524042,0.1581513,0.9306196,0.445098,0.06099498,0.2529776,0.3644488,960,-1.18932
imm(02).bmp,0.3864751703999999,18,5,0.9012654935391496,3,0.2560067474842071,0.1775859,0.0066924374187256,5.8,14.0,31.9,71.7,223.8,733.7,2660.1,10317.5,15,0.6298317,0.1103668,0.9788308,0.168205,0.9458739,0.4686275,0.05135271,0.2243867,0.1035906,88,1.81744
imm(03).bmp,0.2678590128,36,7,0.9185879690673794,7,0.2771808207035064,0.118053794,0.0084372968140442,7.4,22.1,68.2,232.0,860.5,3251.4,11137.1,35165.2,15,0.5722996,0.0953776,0.9345817,0.282891,0.9545921,0.472549,0.01532784,0.208429,0.3600863,296,0.691444
imm(04).bmp,0.3790968316,52,4,0.9087835607100624,9,0.3265599906444549,0.15168694,0.0107915856031128,7.3,18.4,46.4,140.4,485.6,1731.2,6365.8,21437.9,15,0.6799144,0.1389102,0.9649956,0.2539328,0.9627463,0.4596354,0.03170092,0.1726687,0.1931957,170,1.81419
imm(05).bmp,0.3414436146,43,9,0.8747664637463363,8,0.3924150466918945,0.25761887,0.0139226653696498,7.4,21.6,70.2,238.0,797.8,2579.6,8011.2,23389.6,12,0.70863396,0.1356813,0.9744141,0.1629964,0.9389549,0.4647059,0.05180468,0.2475005,0.1717262,320,0.788121
imm(06).bmp,0.09640032131,21,2,0.9213605595974368,12,0.2399659305810928,0.10540993,0.0114578266861219,6.3,26.7,113.1,465.5,1624.4,4346.7,9979.5,21815.6,25,0.85227025,0.02871347,0.9940873,0.5507844,0.9882963,0.3333333,0.007660506,0.1649719,0.7052674,588,-0.296456
imm(07).bmp,0.805084799,248,31,0.8119629187015223,49,0.6579718589782715,0.44091254,0.1126183558192457,8.0,35.6,148.1,574.1,2251.4,8059.6,23506.5,57781.2,25,0.71003056,0.4869439,0.9322253,0.09571386,0.8711571,0.464752,0.09423257,0.3062283,0.280682,780,-0.231993
imm(08).bmp,0.3603168485999999,95,4,0.8237669189057991,43,0.4725308716297149,0.385857,0.0947658276588845,8.0,32.2,137.5,638.1,2932.5,11445.2,35131.7,78920.1,35,0.8200061,0.2694165,0.9632574,0.1652404,0.8983494,0.4244792,0.07451008,0.2972465,0.1952149,825,-0.0542975
imm(09).bmp,0.7882293407000001,251,35,0.8138239022243937,36,0.6980872750282288,0.4255743,0.076541727464332,7.9,38.4,175.4,753.6,3002.2,10126.9,26771.5,59459.6,25,0.7270187,0.4462079,0.9489486,0.1187122,0.8838571,0.4509804,0.0843061,0.2864777,0.4248098,991,-0.510846
imm(10).bmp,0.7521109337,135,5,0.7642792023574715,46,0.575814962387085,0.5538758,0.1599181258106355,7.9,35.3,164.6,798.1,3934.5,16883.7,53608.2,111450.8,35,0.586208,0.8967717,0.8809688,0.05473412,0.7674627,0.4739583,0.1742385,0.4117758,0.3803147,1093,-0.532721
imm(11).bmp,0.5947581095000001,86,3,0.7320695683387193,41,0.5300861597061157,0.63148177,0.1399967574578469,7.7,22.1,68.9,260.8,1076.1,4856.4,20545.9,62226.5,25,0.6592946,1.114758,0.9083174,0.07985009,0.8162948,0.4647059,0.1286352,0.3763992,0.2233727,346,-0.159842
imm(12).bmp,0.442160184,63,10,0.8822877320679638,16,0.4459932148456573,0.21555676,0.0558481997724317,7.9,30.6,112.9,411.4,1600.4,5533.4,16819.2,45923.4,35,0.7906851,0.144636,0.9694261,0.142402,0.9460612,0.4503917,0.04588447,0.2363061,0.383244,535,-0.187124
imm(13).bmp,0.4791235776,107,10,0.9091160371184536,16,0.4130488336086273,0.15003757,0.0124153899156939,7.4,28.0,97.4,363.1,1425.0,5655.3,18847.7,42493.0,15,0.5858666,0.1850269,0.903504,0.254279,0.9240539,0.4666667,0.02716896,0.2182231,0.4588169,489,0.637114
imm(14).bmp,0.3535124007,103,8,0.8365334918652274,23,0.4420971274375915,0.39705837,0.0454665207522697,7.9,29.5,108.4,448.6,1872.0,6967.4,22388.8,56986.4,15,0.67623305,0.5030337,0.9060096,0.08745231,0.8123132,0.4627451,0.08322947,0.3610647,0.2165672,576,-1.09471
imm(15).bmp,0.8880693603,449,18,0.8204918661604785,28,0.7965832352638245,0.4041927,0.1021071457522697,8.0,30.9,123.2,520.8,2104.3,7610.6,24717.2,66774.7,25,0.7213887,0.4217,0.9320973,0.09232667,0.8676661,0.4627451,0.09969044,0.3357222,0.15292,742,-0.448869
imm(16).bmp,0.6065839527,203,7,0.8157490032135456,53,0.6278491616249084,0.41775012,0.0788799043450064,7.9,26.8,87.6,332.1,1353.6,5771.3,22162.3,61995.8,35,0.68952304,0.428267,0.9435384,0.1080388,0.8766217,0.4431373,0.08560058,0.270998,0.2129063,415,-1.24279
imm(17).bmp,0.378556594,156,9,0.8583220347590547,46,0.5090685486793518,0.2847402,0.0396974561118335,7.9,22.0,85.3,336.0,1443.3,6184.7,22596.8,60864.5,35,0.8378401,0.1231604,0.9696506,0.1731502,0.9463011,0.3733681,0.03601725,0.2182082,0.3190166,392,-1.32188
imm(18).bmp,0.5547960323000001,161,20,0.8373352317744652,46,0.5971423387527466,0.32056773,0.0830370204811443,8.0,31.3,134.6,600.4,2571.8,9152.6,27325.2,66770.6,35,0.75693417,0.1733398,0.9753767,0.1427062,0.930024,0.3921569,0.0353061,0.2423881,0.2731431,722,-0.516999
imm(19).bmp,0.6153097433,179,20,0.8168885096883138,61,0.6245201230049133,0.39626247,0.0937093628088426,8.0,39.3,182.1,853.7,3836.8,14899.1,46083.8,96045.1,35,0.80878794,0.3037365,0.9660597,0.1095431,0.8995266,0.4438642,0.06180409,0.2740428,0.3071812,1049,-1.78447
imm(20).bmp,0.5553861077,40,2,0.8632424872464681,1,0.2713747918605804,0.24123101,0.0655980603448275,7.1,22.2,67.2,199.2,595.0,1900.5,6383.6,19442.6,5,0.79429066,0.1338509,0.980262,0.2209559,0.9409816,0.4078431,0.0146185,0.2529185,0.08289556,257,0.0733481
