image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC0,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
0.jpg,0.36,116,12,0.8438065306514678,38.0,0.5025482773780823,0.27835152,0.031345,1.0,7.7,43.5,227.5,1171.6,5190.6,15209.3,29209.6,36618.0,15.0,0.8066454,0.2924098,0.8955123,0.339205,0.9201787,0.4547739,0.058055,0.1550817,0.6188741,1592,0.649943
1.jpg,0.42,85,6,0.7787067701978098,52.0,0.4686906933784485,0.40010276,0.0475218508997429,1.0,7.5,32.9,173.1,889.6,4164.8,13321.3,27280.3,36725.4,10.0,0.8609825,0.368176,0.9584721,0.1245481,0.9276973,0.4119171,0.04922879,0.1838543,1.0,1123,-0.791591
2.jpg,0.33,87,10,0.8137207279249526,37.0,0.4529352486133575,0.3540586,0.0637226666666666,1.0,8.0,55.6,317.6,1537.9,5639.3,13170.3,21949.1,27584.2,10.0,0.8228736,0.4664262,0.9507921,0.2012178,0.9244912,0.4543011,0.06054933,0.1714471,1.0,2176,0.188134
3.jpg,0.45,107,7,0.7498655994420546,44.0,0.4527063071727752,0.5186465,0.092304964539007,1.0,8.0,47.7,258.0,1352.1,6043.4,18227.5,35602.1,43811.0,10.0,0.7903171,0.481104,0.914039,0.1113162,0.8661419,0.4464286,0.09913475,0.2504681,0.8897782,1777,0.0167821
4.jpg,0.59,178,13,0.7801950294566892,60.0,0.5815396904945374,0.45639262,0.0623626666666666,1.0,8.0,50.9,291.1,1585.2,7068.0,21004.7,39909.6,49108.9,35.0,0.80858004,0.3537689,0.9379131,0.1216006,0.9101167,0.4247312,0.07355733,0.2038596,1.0,2062,-0.646901
5.jpg,0.59,339,12,0.7831923220208775,62.0,0.603394627571106,0.4616528,0.0882293333333333,1.0,8.0,49.2,264.8,1363.8,6154.9,19864.8,42012.5,52845.2,10.0,0.7709065,0.3106747,0.9387176,0.1274647,0.8962737,0.438172,0.08725333,0.2215111,0.6597143,1813,-0.273997
6.jpg,0.46,107,8,0.8024262879593406,40.0,0.544895350933075,0.35089907,0.0594718309859154,1.0,8.0,37.5,160.7,786.8,3642.2,13219.1,31782.7,40707.0,10.0,0.8204647,0.3072342,0.9186046,0.1399401,0.895117,0.4574468,0.09366901,0.2039272,0.6118634,1027,0.102131
7.jpg,0.52,127,13,0.8027833084745685,37.0,0.5485526919364929,0.33737373,0.0540896860986547,1.0,8.0,27.2,102.5,403.9,1746.5,6599.9,16646.8,21932.0,15.0,0.79396194,0.237776,0.9638213,0.1502338,0.9131563,0.4409091,0.05365919,0.143991,0.4103156,488,-1.04198
8.jpg,0.11,13,1,0.8493238189905717,9.0,0.2047901600599289,0.27952224,0.0225248893805309,1.0,6.9,28.0,101.2,312.6,939.9,2693.5,6669.7,9933.2,35.0,0.8631222,0.184634,0.9834064,0.1696102,0.9757278,0.4,0.01783739,0.1060057,0.835554,410,-1.98405
9.jpg,0.33,28,4,0.8356584061640676,9.0,0.329131007194519,0.3582825,0.017725321888412,1.0,3.9,13.8,49.1,203.8,956.6,4540.2,16808.9,26186.0,10.0,0.9003521,0.4617155,0.7787819,0.15376,0.8180308,0.4919679,0.1717253,0.2550558,0.350917,263,1.50197
10.jpg,0.19,39,4,0.8652297494454605,8.0,0.3492096960544586,0.22691405,0.0228195991091314,1.0,5.9,19.6,63.2,242.7,1043.2,4649.0,17514.2,29303.9,65.0,0.7012818,0.2065155,0.9628813,0.1455572,0.9031664,0.455157,0.04561247,0.1851136,0.2641254,317,-0.255084
11.jpg,0.19,57,4,0.8658097354717862,20.0,0.3894851803779602,0.2304266,0.0171988950276243,1.0,6.6,21.1,81.9,327.5,1420.4,5740.3,16956.6,24154.9,35.0,0.8208768,0.1851634,0.9373631,0.244562,0.936376,0.4497992,0.04737017,0.136232,0.2695108,414,1.01979
12.jpg,0.22,10,2,0.8508859737082656,24.0,0.3137320876121521,0.28776056,0.0234986376021798,1.0,8.0,30.3,107.8,428.1,1839.6,6965.3,17143.1,22267.2,65.0,0.8233532,0.427694,0.9479891,0.3454601,0.9020873,0.4538153,0.04088828,0.1402489,0.2192938,556,-0.888632
13.jpg,0.47,46,8,0.8448047027412735,28.0,0.3933010399341583,0.29354432,0.0589922480620155,1.0,4.7,21.0,80.7,330.5,1520.4,6963.7,24613.7,37710.0,10.0,0.8298068,0.2267098,0.9701516,0.1030817,0.9029515,0.4156626,0.0385168,0.1882033,0.4704902,413,-0.92144
14.jpg,0.54,110,8,0.8204858094174222,38.0,0.5521828532218933,0.40597022,0.0448623376623376,1.0,5.0,14.4,53.5,190.7,829.9,3949.1,16412.8,27174.2,20.0,0.6051775,0.4254951,0.9481583,0.1135597,0.8674088,0.4450262,0.06447273,0.201813,0.1731114,226,0.53221
15.jpg,0.48,131,5,0.8308104910320043,35.0,0.5178585648536682,0.36193603,0.0438192771084337,1.0,7.2,21.0,70.9,267.5,1185.0,5468.0,20319.6,30510.7,15.0,0.63886356,0.2966717,0.947682,0.174097,0.8930238,0.4575758,0.08972289,0.1904498,0.2468659,331,-1.09376
