image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC0,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
0.jpg,0.68,191,30,0.846029121549784,42,0.5997925400733948,0.3650609,0.055073205615567,1.0,7.7,31.8,144.1,669.4,3031.2,11956.2,36483.9,61163.6,65,0.70699245,0.3433669,0.9495476,0.1140773,0.9064048,0.4199508,0.06091159,0.2327434,0.2993064,869,-0.363039
1.jpg,0.2,208,41,0.8687714203546203,41,0.5271710157394409,0.28403315,0.064643889172191,1.0,8.0,27.2,108.7,473.8,2164.4,8372.1,23388.5,34608.7,10,0.67281973,0.3040349,0.9631858,0.1939909,0.9315099,0.4322289,0.04356621,0.1560202,0.09525549,631,-0.876894
2.jpg,0.43,207,26,0.8578912565700317,50,0.5514042377471924,0.30370837,0.0379570175768753,1.0,8.0,31.4,118.3,487.0,1894.8,6530.1,19876.3,35040.6,45,0.70970094,0.2117454,0.9797645,0.104469,0.9456327,0.3940887,0.03876096,0.1883117,0.161382,623,-0.777398
3.jpg,0.08,123,24,0.8973872941626667,17,0.4960462749004364,0.19106065,0.0122641509433962,1.0,7.9,33.0,138.1,576.9,2023.7,5910.8,14731.6,24381.5,25,0.66493297,0.1237002,0.9804413,0.1682957,0.9572001,0.4156626,0.01796702,0.1658668,0.1387089,782,-0.639053
4.jpg,0.17,202,39,0.8872139460198576,29,0.4980684816837311,0.22655734,0.0240161044406327,1.0,7.4,25.8,96.5,390.7,1632.0,6087.3,19003.1,34742.0,15,0.73769075,0.1717839,0.9630771,0.1814758,0.9484615,0.4367089,0.03280446,0.1770075,0.1200732,503,0.204838
5.jpg,0.37,232,40,0.8721004650627631,31,0.5961382389068604,0.28559297,0.0351386954721668,1.0,8.0,33.1,132.8,551.4,2258.5,8198.7,26291.3,46732.9,15,0.71056765,0.2266758,0.964347,0.1213523,0.9341931,0.4224138,0.04972713,0.1945982,0.1793935,792,0.41829
6.jpg,0.0,159,23,0.8993852571054178,23,0.4549784064292907,0.19216666,0.015374261482752,1.0,7.7,30.2,120.7,490.2,1839.6,6383.8,19222.7,31464.0,20,0.64530516,0.1332077,0.9743928,0.2188791,0.9559392,0.4291139,0.02147656,0.1646179,0.1455214,654,-0.308012
7.jpg,0.23,210,40,0.8754761567236043,35,0.5524332523345947,0.26079375,0.0306522639165945,1.0,7.9,29.4,115.3,492.0,2137.6,7435.3,22704.2,39958.6,15,0.6873785,0.2234832,0.9580387,0.1573813,0.9356309,0.4396552,0.03895668,0.1972534,0.1827701,619,0.35941
8.jpg,0.2,138,21,0.9151512858455382,17,0.4606428742408752,0.15572432,0.0131861063464837,1.0,7.7,27.8,93.6,374.0,1411.3,4701.1,12916.7,22177.9,65,0.69612986,0.08792004,0.9887007,0.1580469,0.9694561,0.4,0.02294645,0.1477539,0.3996793,474,-0.80808
9.jpg,0.27,171,32,0.872380828126044,35,0.503229022026062,0.25985616,0.0247195308516063,1.0,7.9,33.8,150.7,721.0,3093.1,10542.4,26674.4,39598.5,25,0.7393108,0.1595065,0.9700114,0.2176747,0.9573697,0.4322289,0.03370021,0.1316326,0.5728325,923,0.0228553
10.jpg,0.5,219,44,0.8519022355889656,46,0.6030877232551575,0.3374222,0.0559236230226796,1.0,8.0,36.0,161.8,695.7,2734.8,9390.0,28637.3,49666.1,65,0.70555407,0.2910896,0.9712925,0.1063221,0.9270931,0.4253165,0.05053483,0.1763897,0.1478731,952,-0.997588
11.jpg,0.17,169,37,0.8784671867706025,31,0.5239130258560181,0.2615775,0.0292424499971669,1.0,7.9,27.4,96.0,374.8,1526.6,5834.4,18877.0,31659.6,10,0.7547033,0.2192476,0.9614981,0.2234894,0.9573944,0.436747,0.04353929,0.1143143,0.1354937,490,-0.459151
12.jpg,0.12,151,30,0.8809859267130055,37,0.516834557056427,0.24954261,0.0217493329521631,1.0,6.7,24.7,94.1,356.2,1407.3,5025.8,16167.3,27889.9,10,0.7469982,0.1837819,0.9795275,0.1447089,0.9604369,0.4113924,0.02943825,0.1230135,0.1799641,449,0.284062
13.jpg,0.5,158,31,0.8171707871603147,50,0.5743315815925598,0.42258325,0.1031772338376112,1.0,8.0,44.1,208.0,890.4,3578.2,12787.6,39341.6,63659.9,35,0.67199284,0.6715001,0.9435824,0.1502708,0.8888086,0.4578313,0.05731486,0.2675128,0.1452638,1372,-0.656261
14.jpg,0.6,145,34,0.8256957079738254,20,0.6088982820510864,0.3781259,0.071031065370688,1.0,8.0,43.7,239.3,1211.8,5279.2,18914.8,53901.1,83979.7,15,0.70972216,0.6362766,0.9343233,0.1012838,0.8930324,0.4544304,0.05264318,0.2689672,0.3174789,1782,-1.24017
15.jpg,0.34,139,22,0.8613050939090791,41,0.5542912483215332,0.28558296,0.0979333428625881,1.0,8.0,36.7,168.5,821.1,3868.2,15033.1,43135.3,65646.4,35,0.77488524,0.3390158,0.9383141,0.2110457,0.9206166,0.4531645,0.05407614,0.2015882,0.2614773,1015,-0.743835
16.jpg,0.4,177,35,0.8771700999285533,30,0.5467247366905212,0.24562928,0.0267238937050257,1.0,7.9,32.0,134.4,568.1,2154.4,7373.4,24459.3,44351.3,10,0.7188028,0.2155909,0.967299,0.1483434,0.9338259,0.435241,0.03862258,0.2047236,0.1745499,792,-0.717436
17.jpg,0.34,137,29,0.8564656915925202,54,0.5027076601982117,0.34255537,0.0493129922375205,1.0,7.6,28.3,113.8,471.8,2018.3,8205.1,27853.3,48600.9,20,0.7572747,0.3049211,0.959249,0.107284,0.924766,0.4292169,0.04904527,0.1949742,0.1975953,616,-0.0322661
18.jpg,0.29,155,31,0.8640281289099935,39,0.5677576661109924,0.294561,0.0602257918295654,1.0,8.0,34.8,143.1,626.8,2748.5,10497.7,33261.2,54912.6,10,0.74185663,0.3962064,0.939658,0.1206308,0.918895,0.4563253,0.05316874,0.2189402,0.1999661,818,-0.79538
19.jpg,0.41,170,28,0.8576348857079882,49,0.5244688391685486,0.2977424,0.051841464105615,1.0,8.0,41.3,193.3,860.0,3539.5,13363.7,41946.1,68458.3,65,0.76904863,0.2467127,0.9620764,0.1283043,0.9356372,0.433735,0.0499915,0.2136684,0.2653852,1130,-0.879797
20.jpg,0.72,240,44,0.8335586310132387,69,0.6238505840301514,0.3696641,0.051411520869068,1.0,7.9,43.5,229.8,1142.0,5335.0,20675.9,57613.5,88759.2,15,0.75101,0.3523717,0.9667581,0.1069498,0.9128517,0.4265823,0.04813822,0.2246538,0.335188,1415,-1.02239
21.jpg,0.71,225,38,0.8008944390667253,61,0.5846071839332581,0.46011594,0.0625601264631713,1.0,7.7,39.4,193.3,978.3,4788.9,19472.0,60992.2,94888.7,15,0.7093231,0.4575331,0.9349331,0.1155529,0.894726,0.4408867,0.08219654,0.2767802,0.3873925,1272,-0.305143
22.jpg,0.55,198,45,0.8385591152060666,61,0.6328150629997253,0.39506528,0.0531839622641509,1.0,8.0,33.8,157.7,754.1,3467.9,14481.8,50523.5,85080.9,15,0.756875,0.4404097,0.9378347,0.1200512,0.9039024,0.4367089,0.06715504,0.2254336,0.2922705,999,-0.223347
23.jpg,0.37,149,25,0.8276182780826654,23,0.5857849717140198,0.34963202,0.0420902034109581,1.0,8.0,34.7,146.8,668.7,3049.0,12252.4,38756.9,63549.2,15,0.72537625,0.9090096,0.8231718,0.1227544,0.8504973,0.4774096,0.06304323,0.2763608,0.1571121,1009,-0.645182
24.jpg,0.53,199,28,0.8192208603966461,43,0.608355700969696,0.42007637,0.0584334626091508,1.0,8.0,42.9,206.7,949.4,3903.7,13606.7,40789.7,69391.0,15,0.73793447,0.3919232,0.9561376,0.1016592,0.9128236,0.435443,0.06328487,0.2400715,0.2751174,1251,-1.34125
25.jpg,0.7,119,28,0.7447315547266692,40,0.5964429974555969,0.5783541,0.0854864298260524,1.0,8.0,31.1,125.3,521.1,2229.0,8221.5,25181.5,42779.5,15,0.70911986,1.445009,0.8503065,0.09057567,0.8486161,0.4759036,0.09264406,0.2992252,0.1178548,757,-0.889747
26.jpg,0.38,158,31,0.837073516145391,35,0.5608459711074829,0.34263432,0.0478964813870474,1.0,8.0,24.9,78.2,281.8,1106.7,4381.1,14973.6,28786.3,10,0.7247191,0.4116879,0.9458042,0.1096394,0.9002583,0.4638554,0.0581931,0.2280483,0.07453931,419,-0.307049
27.jpg,0.68,185,38,0.7987841199646747,47,0.6171802282333374,0.44584128,0.0730650461782537,1.0,8.0,32.9,136.4,597.8,2679.8,11273.6,39016.1,68089.5,15,0.69626963,0.8414392,0.9073717,0.07495491,0.8482909,0.4713855,0.08100034,0.287556,0.1825788,888,-0.193833
28.jpg,0.23,157,23,0.8255528093283769,60,0.5666704773902893,0.42514774,0.064514986684798,1.0,8.0,23.2,80.2,329.1,1436.2,5782.6,21439.3,39467.6,10,0.77459836,0.3855215,0.9716764,0.1216073,0.9201263,0.4292169,0.05570571,0.1573947,0.1331427,430,-0.988649
29.jpg,0.58,169,32,0.8314622430004498,48,0.5673618316650391,0.3884372,0.060707308938441,1.0,8.0,33.9,140.5,650.9,2787.2,9879.3,31570.4,57581.7,10,0.69672453,0.3319753,0.9672591,0.1152871,0.908823,0.4253165,0.06752311,0.2509057,0.1176111,912,-0.587609
30.jpg,0.5,200,45,0.7726835492284708,52,0.594050407409668,0.541506,0.0867244603093659,1.0,8.0,26.3,88.0,321.7,1265.3,4848.9,16608.2,32467.7,10,0.69488245,1.045679,0.909557,0.08569751,0.853813,0.4668675,0.08941158,0.2724725,0.06661692,454,-1.6135
