image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC0,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
18.jpg,0.52,95,4,0.8090187280981448,46,0.3795536160469055,0.3628741,0.0926192915690866,1.0,8.0,36.7,164.2,717.3,2832.6,10605.7,30357.5,44701.0,65,0.84528434,0.3292107,0.9583133,0.1836146,0.8974397,0.460815,0.03515808,0.2441745,0.3860519,1103,-2.09537
118.jpg,0.58,120,9,0.8157850513164973,46,0.4814458191394806,0.41496903,0.0582845052083333,1.0,7.7,34.0,152.5,653.6,2545.8,8638.1,26379.7,42356.3,45,0.8019989,0.3763987,0.9591027,0.08780582,0.8872021,0.4560669,0.05958984,0.2624089,0.2083309,947,-0.781136
156.jpg,0.53,119,6,0.8055359804628783,44,0.4946561157703399,0.3695652,0.043959839876033,1.0,7.7,34.5,151.3,668.7,2619.0,8525.7,22265.0,33472.9,75,0.82599705,0.3490539,0.9639606,0.1134286,0.9179828,0.4502075,0.04241348,0.2416968,0.2666179,989,-0.73081
165.jpg,0.14,82,3,0.8428354579991719,42,0.4246927797794342,0.28567266,0.0828057795698924,1.0,6.4,33.9,164.5,794.3,3502.5,11623.4,26813.4,37001.6,65,0.75076216,0.1608495,0.9769928,0.4112057,0.9603176,0.4155844,0.02698253,0.1774507,0.3439955,1050,-1.31036
46.jpg,0.72,189,16,0.8567230871331001,23,0.5858246088027954,0.24306911,0.0618984741784037,1.0,7.4,30.8,139.4,616.1,2477.6,8348.3,23056.6,36881.0,35,0.7291579,0.27154,0.9495714,0.1239989,0.9048976,0.4599057,0.03865537,0.2486515,0.3032347,918,-0.51036
61.jpg,0.65,154,21,0.8512213775717395,42,0.4915336072444916,0.31421444,0.0314990234375,1.0,6.2,25.8,96.3,374.5,1391.6,5105.5,17506.7,31472.6,75,0.7404047,0.1603947,0.9857349,0.1004315,0.9319684,0.4043887,0.03450195,0.1833879,0.19583,531,0.594974
97.jpg,0.54,99,12,0.8655973907384661,7,0.469338446855545,0.24586643,0.033792,1.0,7.5,25.0,83.8,301.9,1153.7,4069.4,11162.2,17047.1,10,0.6416909,0.1873935,0.9836194,0.2120533,0.9540972,0.4489247,0.047136,0.1707449,0.1675906,389,-1.07337
2.jpg,0.47,80,13,0.89842457092975,17,0.444599449634552,0.17562696,0.0192513020833333,1.0,8.0,28.8,105.6,417.9,1577.4,5421.1,15876.4,27998.4,35,0.719754,0.191023,0.9514031,0.1908482,0.9469984,0.452978,0.02668294,0.1993674,0.1308643,579,-0.809642
12.jpg,0.14,11,4,0.8710507525194906,3,0.2361838519573211,0.18548968,0.0047667572463768,1.0,6.3,25.3,97.3,385.8,1763.7,8222.6,29092.2,44073.6,15,0.6243247,0.3496027,0.9607074,0.1228806,0.8482348,0.4854369,0.008673008,0.3398324,0.4457167,716,1.77876
47.jpg,0.57,96,7,0.779956992366048,44,0.5419603586196899,0.52956945,0.1270491803278688,1.0,8.0,34.0,158.9,819.7,4239.1,17951.6,49414.6,68203.8,10,0.77857333,0.7870525,0.877491,0.07015546,0.8003128,0.4733542,0.1233643,0.4003476,0.2840543,1190,-0.204949
163.jpg,0.34,113,9,0.839844985434655,35,0.4948449730873108,0.37555626,0.0708333333333333,1.0,7.7,40.9,206.0,1036.1,5062.7,20732.9,59122.9,82253.6,35,0.85088974,0.4498142,0.948042,0.07471278,0.8458834,0.458159,0.07433594,0.3794282,0.4602679,1430,-0.574135
87.jpg,0.86,244,27,0.7319810012325393,62,0.7182846069335938,0.5864671,0.1392348884976526,1.0,8.0,48.0,273.2,1445.6,6136.2,18956.3,43130.6,58785.9,75,0.75080293,1.10261,0.9038294,0.0781366,0.8126506,0.4646226,0.1070569,0.3855634,0.3306728,2124,-1.34505
17.jpg,0.69,185,22,0.8288954661653278,44,0.5797221064567566,0.35083145,0.0848014705882353,1.0,8.0,36.4,155.2,643.0,2564.2,9223.0,27276.8,42830.7,45,0.7415887,0.2929835,0.9645627,0.1180048,0.9130408,0.4526066,0.04190074,0.248864,0.2198387,900,-1.57204
140.jpg,0.78,99,20,0.8192953084204974,27,0.5308745503425598,0.34787863,0.0522211651053864,1.0,8.0,43.3,203.1,866.6,3419.2,11820.4,31960.5,47105.8,20,0.746324,0.5217209,0.9402483,0.1055028,0.840154,0.4702194,0.04654567,0.3360863,0.4103903,1282,-0.758029
189.jpg,0.73,134,26,0.8365965922708912,26,0.5549777746200562,0.32838845,0.0478251187648456,1.0,7.9,25.3,88.8,355.1,1573.4,6488.6,20976.5,33430.0,70,0.6619687,0.6537196,0.9297379,0.1224038,0.8377665,0.4736842,0.04608447,0.3460845,0.1494719,539,-0.568777
4.jpg,0.79,133,23,0.8051885401581346,42,0.5512663125991821,0.39839274,0.0440024882903981,1.0,8.0,44.3,207.9,975.3,3792.3,11562.3,29332.5,41919.9,20,0.7239715,0.6473229,0.9313648,0.0879672,0.820882,0.4693396,0.05932377,0.3448734,0.2706429,1425,-0.515159
150.jpg,0.27,73,5,0.8772470992572741,14,0.3544609248638153,0.20740226,0.0204926470588235,1.0,7.7,37.7,150.4,603.4,2452.1,9066.4,26802.7,42141.5,35,0.8011608,0.2418706,0.9301192,0.1883944,0.9207538,0.4549763,0.02409926,0.2400282,0.5659457,869,-0.328313
143.jpg,0.39,158,7,0.8654330951669927,3,0.5082802176475525,0.24877073,0.0326511150234741,1.0,7.7,25.6,87.6,352.7,1434.5,5604.2,19810.9,34111.5,35,0.7669938,0.1970104,0.9499449,0.2214474,0.9301363,0.4669811,0.04020686,0.2668929,0.1852469,526,0.158899
149.jpg,0.39,121,6,0.8196189258570136,35,0.4787861406803131,0.42165974,0.0850336651053864,1.0,7.9,27.8,99.2,411.1,1669.5,6046.1,16726.1,26131.1,35,0.74285626,0.4277651,0.9437853,0.08735269,0.8491286,0.4528302,0.08295521,0.2746072,0.1861685,586,-0.57235
9.jpg,0.43,55,8,0.8610399185118959,18,0.4746118187904358,0.25972205,0.0377415105386416,1.0,7.9,27.0,105.4,444.9,1964.6,7598.9,23358.6,38415.5,35,0.7288445,0.3695873,0.9667417,0.1094489,0.8913361,0.4622642,0.02748829,0.2998182,0.2797224,658,-1.15885
105.jpg,0.55,89,8,0.7331957267113625,24,0.5306659936904907,0.6762326,0.2779127634660421,1.0,8.0,44.5,202.7,936.4,4042.4,15492.2,46092.9,68740.6,45,0.7580134,1.392292,0.7440296,0.04784806,0.6928285,0.4764151,0.253447,0.4674229,0.3188497,1374,-0.726683
116.jpg,0.5,84,10,0.804111031905681,59,0.4857968091964721,0.36963475,0.0545285285285285,1.0,8.0,37.8,181.7,908.7,4056.8,13344.6,30656.0,40090.4,35,0.79388994,0.1530268,0.9815189,0.1281031,0.9404734,0.4090909,0.04783784,0.2273574,0.5445715,1130,-1.35025
