image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC0,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
0.jpg,0.29,107,10,0.8705368215253401,24,0.4469583928585052,0.26816395,0.0398330688476562,1.0,7.4,28.6,110.6,472.6,2104.5,8734.1,27619.4,42267.7,35,0.7396346,0.165351,0.9636071,0.1746745,0.9435355,0.4490196,0.04184723,0.1354582,0.6509355,583,-0.663298
1.jpg,0.42,35,6,0.8459169846775744,37,0.5402954816818237,0.33578184,0.0775833129882812,1.0,8.0,39.2,188.5,969.8,4843.1,20228.5,60342.2,87280.8,75,0.6719062,0.2919801,0.9566355,0.09892197,0.8772724,0.4543081,0.0634613,0.2124354,0.5170581,1152,-0.671341
2.jpg,0.68,215,39,0.7655156312647087,53,0.7246630787849426,0.58692497,0.1574824990849194,1.0,8.0,34.3,146.3,669.5,3071.1,12116.0,34978.2,52579.8,65,0.71812814,0.8631495,0.9111372,0.07242171,0.8009436,0.4627451,0.1674597,0.2528434,0.2161657,866,-0.522875
3.jpg,0.39,164,7,0.8292410154101176,44,0.5442028045654297,0.38503733,0.0647591050512445,1.0,7.7,28.3,111.4,479.2,1971.8,7213.8,21617.4,33833.0,35,0.7676656,0.3431572,0.9668404,0.1126922,0.914148,0.4392157,0.06300043,0.1509854,0.1662687,609,-0.990462
4.jpg,0.76,246,16,0.8459274127751061,44,0.6531452536582947,0.33291185,0.0750022877013177,1.0,8.0,42.9,211.3,1013.7,4095.8,13345.2,32241.1,44764.2,10,0.66098535,0.2145602,0.953444,0.2035263,0.9343985,0.4235294,0.0483763,0.1531702,0.2215219,1407,-0.885412
5.jpg,0.41,170,12,0.7889863399420518,2,0.5831083059310913,0.4945136,0.1051084370424597,1.0,8.0,28.0,104.3,453.7,2175.1,9859.9,33836.0,50896.6,20,0.665031,0.7525316,0.9088033,0.0905821,0.8246312,0.4627451,0.1137016,0.2279246,0.1746535,583,-0.728163
6.jpg,0.39,72,7,0.8468151535385071,21,0.5332568287849426,0.32993472,0.0625513304862023,1.0,4.0,11.4,22.7,56.8,186.0,714.8,2675.6,5654.8,30,0.575364,0.3016527,0.96446,0.1081189,0.9018706,0.4485488,0.06617783,0.1575179,0.06758112,66,0.850314
7.jpg,0.4,130,10,0.807747726925709,38,0.517940878868103,0.4545017,0.12408203125,1.0,8.0,29.2,120.8,576.3,2829.0,12527.6,41466.1,61546.2,10,0.718856,0.3867078,0.952807,0.08014552,0.8570759,0.4142259,0.09644857,0.2062945,0.2992007,697,-0.939405
8.jpg,0.33,166,3,0.9074339571493588,11,0.4966001212596893,0.17310031,0.0479086821933962,1.0,7.7,20.4,58.9,221.2,933.9,4173.1,16078.4,30121.4,55,0.5940983,0.1224364,0.985604,0.2507704,0.9478846,0.4490196,0.03546396,0.1283756,0.2104451,273,-0.343757
9.jpg,0.33,110,6,0.8326593691959835,29,0.457367867231369,0.3690334,0.0972046918523676,1.0,7.8,30.3,120.0,567.9,2770.5,12583.3,41555.7,62213.7,10,0.7475329,0.3927007,0.8867443,0.1721022,0.8540875,0.4647059,0.1050145,0.2104116,0.5493185,721,-0.0465445
