image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC0,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
0.jpg,0.97,61,3,0.7861369792743673,54,0.4674715101718902,0.44361407,0.0681082981715893,1.0,7.9,33.0,141.4,676.1,3168.5,11885.0,29525.0,38543.3,35,0.78618544,0.3344691,0.9651838,0.1118611,0.8907083,0.4017857,0.0509564,0.2036146,0.5065078,821,-1.11709
1.jpg,0.89,50,0,0.8109035684081943,38,0.4018829464912414,0.3424139,0.0302319587628865,1.0,8.0,40.4,192.4,936.4,4196.9,14645.0,35092.0,45033.0,35,0.7817391,0.1889083,0.9736477,0.1192576,0.9234756,0.3467337,0.03716495,0.1793041,0.7614505,1191,-0.696397
2.jpg,0.98,75,1,0.7779651621751782,35,0.3788267076015472,0.37316483,0.0375450819672131,1.0,7.7,38.9,183.1,826.1,3359.1,10168.0,21755.9,29815.1,15,0.79744434,0.230694,0.9822952,0.2435516,0.9517762,0.3473895,0.03544672,0.1432322,0.8379734,1111,-0.0736065
3.jpg,0.98,86,1,0.8135388133849101,63,0.4547673761844635,0.38583627,0.0562261640798226,1.0,7.9,34.7,144.2,670.2,3113.3,11758.2,32162.8,45237.3,20,0.77952313,0.3729099,0.9528226,0.09809256,0.878961,0.4352679,0.03548115,0.2151175,0.3930501,845,-1.16205
4.jpg,0.44,57,3,0.8433454515050304,16,0.277370810508728,0.23072104,0.0220751879699248,1.0,5.1,22.6,78.6,317.6,1236.1,4260.2,10762.8,15960.4,45,0.82165164,0.2309632,0.9862052,0.3370155,0.9471815,0.4217172,0.02645113,0.1349557,0.6241782,451,0.532897
5.jpg,0.08,18,1,0.8925884149190234,5,0.201208159327507,0.14266367,0.0071492537313432,1.0,5.2,14.5,41.6,125.6,408.0,1307.7,3838.6,6049.8,15,0.86312413,0.1252718,0.9650894,0.3472409,0.9606121,0.3995984,0.02761194,0.08523549,0.3730725,170,-0.182502
6.jpg,0.19,26,5,0.8941976719759152,7,0.2327317148447036,0.14295568,0.0097712765957446,1.0,4.9,18.2,72.9,222.5,718.2,2043.5,4840.7,7376.2,65,0.8507653,0.1817653,0.9684054,0.5081956,0.9619842,0.4457831,0.02370745,0.09430319,0.5749251,306,-1.1253
7.jpg,0.08,21,2,0.9100582670983304,1,0.202899232506752,0.12205949,0.0069706666666666,1.0,4.7,15.0,41.4,127.9,396.8,1236.4,3267.5,5265.8,25,0.8583158,0.0806738,0.9844612,0.6931916,0.9850382,0.4116466,0.02070933,0.09511466,0.4212037,177,-0.415602
8.jpg,0.02,8,2,0.9082760293373556,5,0.0820301547646522,0.09379603,0.007621761658031,1.0,5.5,10.9,23.5,70.7,200.9,646.1,1971.2,3177.9,35,0.86259145,0.06886753,0.947604,0.8526015,0.9817162,0.4518072,0.01005181,0.08951641,0.1119963,89,1.69501
9.jpg,0.28,32,0,0.8619009024859517,12,0.2515254020690918,0.18704933,0.0163262032085561,1.0,4.7,19.8,64.2,244.8,892.9,2738.9,6425.3,9075.8,20,0.87801105,0.2443378,0.9576387,0.6425941,0.9622764,0.4618474,0.03552406,0.1226702,0.3161963,335,-0.899958
10.jpg,0.58,34,0,0.8471966440363333,20,0.3616179227828979,0.25497335,0.0347667560321715,1.0,5.2,21.8,82.4,362.9,1659.3,6451.1,16831.3,24266.8,15,0.83709484,0.2265657,0.9561089,0.2411547,0.9215147,0.4459459,0.03803753,0.1788633,0.4279472,507,-0.662052
11.jpg,0.14,19,1,0.8985005064005237,4,0.2052402198314666,0.11683668,0.0068527131782945,1.0,4.8,20.7,58.1,204.5,712.1,2013.5,4331.5,6214.5,35,0.83308506,0.1020052,0.9588008,0.463996,0.9654023,0.4497992,0.02158656,0.1052885,0.3695312,298,-0.964952
12.jpg,0.41,41,1,0.8606498197997049,8,0.3129618167877197,0.23650862,0.0181980198019801,1.0,6.7,28.9,107.4,412.7,1365.8,3701.5,8629.1,12673.7,30,0.81951845,0.1451258,0.9790488,0.2698221,0.9560673,0.4457831,0.01981518,0.1300858,0.4282345,561,-1.11995
13.jpg,0.17,16,1,0.7986413440353711,9,0.1459823995828628,0.3578442,0.0237121212121212,1.0,5.2,13.3,36.0,99.8,294.8,1000.7,3014.8,4970.9,30,0.8908704,0.2830875,0.9869053,0.4542103,0.9595573,0.4678715,0.02383333,0.1078485,0.2125953,124,0.822243
14.jpg,0.15,4,1,0.893204563009228,5,0.2162751257419586,0.31474835,0.0204106666666666,1.0,7.5,18.9,50.2,155.5,586.4,2274.4,7884.9,12445.9,25,0.81359625,0.2433026,0.9560652,0.1371935,0.8808074,0.4543011,0.2460213,0.1739573,0.4947888,218,0.29083
15.jpg,0.32,26,2,0.8591462496940245,11,0.2005650997161865,0.19585896,0.0130566037735849,1.0,6.9,29.0,103.4,362.6,1192.8,3590.9,8253.1,11739.2,35,0.90782833,0.1206525,0.9906232,0.5064837,0.9725702,0.375502,0.01807076,0.1061022,0.4968812,495,-1.00275
16.jpg,0.45,31,3,0.8880829042534014,18,0.2394204586744308,0.17285626,0.0139242424242424,1.0,6.7,29.5,104.1,389.0,1414.0,4620.6,12807.8,19591.5,45,0.87542427,0.09035949,0.9811394,0.2493584,0.9666704,0.3915663,0.01482828,0.1196902,0.6467652,510,0.512933
17.jpg,0.0,4,0,0.904630662261373,2,0.0864487588405609,0.11252381,0.005879759519038,1.0,5.0,16.4,34.2,67.5,184.7,626.4,2034.2,3716.2,25,0.8226888,0.09960642,0.9938932,0.3347108,0.9671453,0.375502,0.005803607,0.09144689,0.05122386,81,1.73
18.jpg,0.02,19,1,0.9158550805848612,2,0.128992885351181,0.112947315,0.0050602409638554,1.0,5.7,17.0,33.6,66.0,173.8,526.5,1496.3,2510.7,10,0.7653004,0.120663,0.9923549,0.3709167,0.9590901,0.3649194,0.004943775,0.09131995,0.04017945,77,1.5877
19.jpg,0.03,6,1,0.8854727099001386,2,0.2158799171447754,0.19845583,0.0621854838709677,1.0,4.6,12.7,30.6,62.9,187.0,632.8,2179.3,3960.8,50,0.8153074,0.257402,0.9855399,0.3188883,0.9209644,0.4497992,0.01592742,0.1337876,0.06038598,73,1.70766
20.jpg,0.08,5,1,0.8370996290664765,19,0.2395839989185333,0.4102308,0.0341090909090909,1.0,6.2,17.5,40.0,86.2,253.2,946.5,3734.5,7112.3,10,0.8087818,0.3419069,0.9755567,0.2167341,0.8937838,0.375502,0.04983434,0.1705993,0.03842216,98,-0.206523
21.jpg,0.05,9,3,0.8924282203876027,1,0.1338556408882141,0.12049933,0.0063051948051948,1.0,4.0,12.8,41.2,116.4,351.6,984.4,2298.6,3256.4,25,0.8497616,0.07282085,0.9929246,0.5471769,0.9852876,0.4036145,0.006512987,0.08053896,0.3065757,155,-0.226243
22.jpg,0.6,51,6,0.8357044076380841,42,0.3601850569248199,0.29655534,0.0230057142857142,1.0,8.0,35.1,129.1,574.3,2549.6,9052.9,21812.4,29230.9,65,0.8647286,0.1573754,0.9785805,0.1697621,0.9405238,0.3855422,0.02414286,0.1411714,0.4040234,711,-0.136707
23.jpg,0.29,21,1,0.8371100851759211,13,0.2737660408020019,0.36389267,0.0369187675070028,1.0,8.0,32.3,120.3,493.2,2023.8,7307.8,19416.8,28832.7,10,0.73651075,0.1953599,0.9706728,0.190972,0.9116251,0.4717514,0.03703081,0.199451,0.5307295,693,-0.786914
24.jpg,0.26,15,1,0.8348000746800666,14,0.3155636787414551,0.36881244,0.0329209039548022,1.0,7.9,27.9,112.7,473.4,1963.8,7153.4,19123.8,27360.6,15,0.6575731,0.08202846,0.9908408,0.2135544,0.9610568,0.4431818,0.03349717,0.1567458,0.477285,600,-1.06411
25.jpg,0.12,22,1,0.8887967889678464,9,0.1899381279945373,0.19058865,0.0102955145118733,1.0,4.4,15.4,45.7,160.3,633.3,2512.9,8018.2,13672.9,35,0.8471486,0.1564339,0.913394,0.5876692,0.9391867,0.435743,0.02927177,0.1639613,0.3464678,223,0.233794
26.jpg,0.51,48,3,0.8811858110314962,17,0.2662282288074493,0.16490945,0.0106949152542372,1.0,8.0,35.8,150.0,622.2,2330.4,6592.4,14403.5,18916.2,65,0.8067654,0.05658357,0.9956145,0.2405166,0.9774353,0.3714859,0.01403955,0.1057721,0.5862405,813,-0.0351132
27.jpg,0.03,5,1,0.9267840814517608,2,0.1158483400940895,0.0994847,0.004,1.0,5.9,17.2,40.5,86.3,270.0,826.4,2215.5,3752.3,10,0.8320368,0.07576113,0.9965774,0.3463717,0.973191,0.3413655,0.003987879,0.0799569,0.04642707,107,0.839171
28.jpg,0.23,24,2,0.8977836263949984,7,0.1327768117189407,0.13446227,0.0067062937062937,1.0,7.1,19.6,72.3,238.0,793.1,2397.5,5979.3,8512.1,65,0.8501421,0.1074526,0.9788668,0.6414165,0.9717852,0.4518072,0.01193007,0.1041352,0.2830255,318,-0.483019
29.jpg,0.77,70,4,0.8045931047436028,51,0.3448271751403808,0.37017286,0.0340586319218241,1.0,8.0,43.6,180.3,830.1,3744.1,12617.7,29428.7,38488.8,35,0.83923715,0.2332549,0.9715574,0.1101599,0.9294434,0.4297189,0.03714006,0.1654766,0.6730773,1029,-0.240097
30.jpg,0.54,34,3,0.8637461109898844,10,0.2680917978286743,0.21743762,0.0147696078431372,1.0,7.6,30.0,133.0,584.9,2456.0,7648.3,17401.2,23870.7,65,0.8690766,0.1120491,0.9876247,0.3050732,0.9600297,0.375502,0.02009314,0.1188873,0.6443995,743,-0.484378
31.jpg,0.77,79,13,0.8336092799119648,49,0.391943484544754,0.3060547,0.0313218390804597,1.0,8.0,40.0,197.5,960.4,4085.7,12659.5,27288.9,34759.6,70,0.8517913,0.1659769,0.9826663,0.1105368,0.9432168,0.375502,0.02963218,0.1469962,0.628148,1226,-0.0422763
32.jpg,0.86,108,18,0.8151720405966049,58,0.4496709406375885,0.36431593,0.0509896373056994,1.0,8.0,29.0,103.1,447.6,2121.9,8814.4,25178.9,35778.8,75,0.83306915,0.2604571,0.9546537,0.1517593,0.9156443,0.4277108,0.04414508,0.1733506,0.3780595,546,-0.896368
33.jpg,0.36,19,2,0.8751272525872217,6,0.2423020601272583,0.20865536,0.0178925373134328,1.0,7.7,34.6,142.9,593.5,2281.0,6237.2,13679.6,19776.6,65,0.8717643,0.1402934,0.9825191,0.3868413,0.9479046,0.3915663,0.01471045,0.1393711,0.8262686,797,-0.0942973
34.jpg,0.91,81,13,0.8051380333229022,56,0.4415513277053833,0.37051728,0.0415430107526881,1.0,7.3,27.2,105.7,479.3,2155.5,8207.5,21779.3,30471.3,75,0.8346731,0.2665714,0.9693882,0.1393949,0.9249449,0.435743,0.04078495,0.1720609,0.6264987,610,-0.919415
35.jpg,0.25,12,2,0.8780630954506089,6,0.2031692862510681,0.22211552,0.017178947368421,1.0,7.7,24.9,81.3,279.2,1077.2,3888.2,11525.6,18616.6,75,0.82346004,0.1874723,0.9742801,0.2410341,0.9232292,0.4136546,0.01511579,0.1657263,0.4926217,358,0.0490522
