image_id,complexity,# of SAM segmentations,# of FC-CLIP classes,symmetry,clutter,IC9600,MSG,edge density,MUC1,MUC2,MUC3,MUC4,MUC5,MUC6,MUC7,MUC8,gemini surprise score,AMNet memorability,M1,M2,M3,M4,M5,M6,M7,M9,M10,M11
1051.jpg,0.5263,189,12,0.6866412793319924,61.0,0.6376354694366455,0.6798015,0.152925,8.0,42.7,194.4,924.5,3865.1,11838.8,25091.9,32209.6,65,0.77503484,1.138421,0.9151983,0.08740275,0.8175377,0.4664429,0.1256667,0.3354222,0.3482668,,
107962.jpg,0.322,86,11,0.8998391755481179,18.0,0.414364218711853,0.19287345,0.0128720601399739,8.0,38.3,149.3,631.5,2506.4,8987.2,30825.7,59367.0,75,0.8267495,0.1728602,0.964727,0.147582,0.9239324,0.4386423,0.02040609,0.2404654,0.2720382,866.0,-0.156047
1159376.jpg,0.8461,190,11,0.8276561292139064,35.0,0.7232733964920044,0.38121504,0.0681715193649045,6.8,30.1,158.5,834.8,4478.5,20491.9,67940.7,103193.5,75,0.7466958,0.4598866,0.9302137,0.1649127,0.871557,0.4646018,0.07901552,0.3053486,0.4420318,1093.0,-0.882997
1159524.jpg,0.7341,188,13,,,0.561385989189148,0.24804126,0.035658836364746,8.0,32.8,135.6,669.8,3384.0,14510.1,47333.9,79934.3,75,0.739032,0.1043814,0.985676,0.1642286,0.9575824,0.3463796,0.02627945,0.1704607,0.2360299,861.0,-1.11797
1159650.jpg,0.6534,315,16,0.7965518497831371,71.0,0.8056674599647522,0.47541136,0.0943033377562225,8.0,50.1,304.5,1787.4,8853.3,31813.1,85513.2,127698.4,45,0.68937635,0.3763985,0.9626411,0.08418979,0.8840325,0.4382353,0.08468355,0.3157929,0.4008521,2555.0,-1.08552
1159735.jpg,0.5809,213,11,0.8319218164103725,47.0,0.5525085926055908,0.3744221,0.0699246724446614,8.0,51.6,303.2,1780.3,9305.7,38068.4,107883.9,158542.8,75,0.7890508,0.363994,0.9583257,0.08506393,0.8786831,0.4347259,0.05927277,0.3279402,0.6092077,2208.0,-2.26913
1159811.jpg,0.3404,183,12,,,0.5103771090507507,0.25901085,0.0360018412272135,8.0,36.4,154.9,761.7,3570.9,14731.7,47046.2,77586.9,75,0.7938739,0.2601476,0.9681439,0.1099423,0.9085924,0.4491194,0.0325381,0.2854038,0.249306,983.0,-0.670325
1159959.jpg,0.8346,303,19,,,0.8248425126075745,0.42106086,0.0928567325367647,8.0,53.8,299.2,1562.0,7339.2,27415.8,75287.3,110627.3,75,0.6602806,0.372894,0.9321218,0.1079376,0.883426,0.439528,0.08871065,0.2945207,0.343648,2070.0,-1.01147
1160066.jpg,0.6419,180,13,0.8632572097046755,40.0,0.5266448259353638,0.33369306,0.0392912701317716,8.0,44.6,222.0,1001.6,4383.1,17084.1,55245.9,90736.6,75,0.74223655,0.2091028,0.9507558,0.1759541,0.9102113,0.4205882,0.03761839,0.2364168,0.3096764,1306.0,-0.459797
1160208.jpg,0.8667,392,14,0.7250166040433631,61.0,0.867005467414856,0.6934602,0.1647850093984962,8.0,49.4,289.1,1624.9,7883.5,29562.0,78774.7,118031.6,65,0.6803657,1.123241,0.8914089,0.06628996,0.8043612,0.4622357,0.139111,0.3234199,0.350831,2126.0,-1.09309
1379.jpg,0.2708,33,4,0.8685453986227558,8.0,0.3775366544723511,0.22961971,0.0469069069069069,7.3,23.0,74.3,279.7,1089.1,4428.8,14884.7,23027.3,35,0.5676228,0.202128,0.9460231,0.2386334,0.9174736,0.4636364,0.08077478,0.173003,0.528161,366.0,-0.292698
1386.jpg,0.5275,117,12,0.7933550548640108,32.0,0.5208460688591003,0.398852,0.1595601851851852,5.7,21.7,73.9,261.5,862.5,2651.2,6462.2,8794.2,75,0.7525357,0.4219898,0.920532,0.3102939,0.8997343,0.4662921,0.07456019,0.2755556,0.1904814,377.0,-1.61218
150493.jpg,0.5949,142,10,0.8623275246023862,32.0,0.5616609454154968,0.30006966,0.1251545009328358,8.0,45.4,237.5,1309.0,6537.9,25229.4,64522.1,89403.9,75,0.81983125,0.4311273,0.9002234,0.2372313,0.8893701,0.4476048,0.05303463,0.2687184,0.3554072,1744.0,-1.93176
150515.jpg,0.6297,224,11,0.8330680770008824,54.0,0.6753755211830139,0.3729876,0.0513182689469741,7.9,38.4,178.8,855.6,3981.3,16865.3,56553.4,88343.3,65,0.72776127,0.3476326,0.958553,0.08796277,0.8907409,0.4357367,0.05414973,0.1943559,0.318287,1054.0,-0.635884
1592401.jpg,0.6821,139,15,0.8315751022047579,36.0,0.5384711027145386,0.3541998,0.0756492614746093,8.0,49.0,257.2,1341.4,6279.4,23396.3,64278.2,99175.8,75,0.77549654,0.3766623,0.9635968,0.08199978,0.8624284,0.4490862,0.06024678,0.2504671,0.2161203,1748.0,-0.935518
1592433.jpg,0.7063,200,7,0.8096882312063852,55.0,0.6488638520240784,0.46143425,0.0651833333333333,8.0,33.6,139.4,607.6,2560.8,9838.9,32267.7,52961.5,85,0.6969894,0.3704276,0.9679832,0.1101105,0.8872415,0.4214047,0.07889166,0.1938215,0.1227136,801.0,-0.483573
1592751.jpg,0.9649,340,11,0.8124117936965937,50.0,0.7165369987487793,0.42274737,0.1146252950032552,8.0,48.2,248.0,1300.9,6217.6,23918.7,66434.5,97626.8,85,0.7160481,0.4170651,0.952638,0.1285154,0.8869288,0.4516971,0.08128103,0.2962604,0.3863549,1772.0,-1.28334
1592762.jpg,0.6405,162,5,0.8205175010614761,56.0,0.5788570046424866,0.3847987,0.0966296928327645,7.9,35.7,167.1,765.5,3348.5,12620.9,38019.2,60659.5,85,0.7801653,0.2906171,0.9772345,0.1117463,0.9046679,0.4297945,0.06679181,0.1945698,0.2136765,1003.0,-1.13604
